invoice_id,shipment_date,carrier,origin_zip,dest_zip,origin_city,dest_city,distance_miles,weight_lbs,is_residential,accessorial_services,expected_linehaul,expected_fuel_surcharge,expected_fuel_rate_pct,expected_accessorials,expected_total,actual_billed_linehaul,actual_billed_fuel,actual_billed_accessorials,actual_total_billed,error_injected,error_amount,leakage_amount,leakage_pct,has_leakage
FE7244DAA271,2024-12-12,UPS Ground,90005,10002,LA,NYC,2688,889,False,"inside_delivery,appointment_delivery",2204.16,305.32,13.85,175,2684.48,2204.16,305.32,175,2684.48,none,0.0,0.0,0.0,False
6C5833794F5B,2024-03-22,UPS Ground,75205,77004,Dallas,Houston,2158,103,False,,2123.47,252.51,11.89,0,2375.98,2123.47,252.51,0,2375.98,none,0.0,0.0,0.0,False
77F74154C35C,2024-02-12,YRC Freight,19101,85006,Philadelphia,Phoenix,849,3150,False,limited_access,702.97,78.38,11.15,85,866.35,702.97,78.38,85,866.35,none,0.0,0.0,0.0,False
0A6E830CE320,2024-03-25,Old Dominion,85003,90001,Phoenix,LA,364,3038,True,appointment_delivery,326.51,36.2,11.09,50,412.71,326.51,36.2,50,412.71,none,0.0,0.0,0.0,False
45E6954B06C5,2024-04-29,XPO Logistics,78205,85003,San Antonio,Phoenix,870,508,False,liftgate_delivery,652.5,74.65,11.44,75,802.15,652.5,74.65,75,802.15,none,0.0,0.0,0.0,False
D3663D4BD93E,2024-10-02,XPO Logistics,92104,78202,San Diego,San Antonio,848,4648,True,liftgate_delivery,731.4,97.23,13.29,75,903.63,731.4,97.23,75,903.63,none,0.0,0.0,0.0,False
5F56F261F9DC,2024-07-15,Old Dominion,10002,60602,NYC,Chicago,796,3202,False,,714.01,79.05,11.07,0,793.06,714.01,79.05,0,793.06,none,0.0,0.0,0.0,False
DF8DB261E9A8,2024-05-14,Old Dominion,85001,78203,Phoenix,San Antonio,813,76,False,,760.97,88.45,11.62,0,849.41,760.97,88.45,0,849.41,none,0.0,0.0,0.0,False
E5F2C1FADDDB,2024-06-14,YRC Freight,77003,60602,Houston,Chicago,2575,4956,False,,2132.1,226.37,10.62,0,2358.47,2132.1,226.37,0,2358.47,none,0.0,0.0,0.0,False
BF52E4DB206B,2024-12-03,FedEx Ground,33101,90011,Miami,LA,2546,1101,False,,2164.1,312.92,14.46,0,2477.02,2164.1,312.92,0,2477.02,none,0.0,0.0,0.0,False
